,codigo_municipio,Total
0,1100015,12.7
1,1100023,11.3
2,1100031,7.8
3,1100049,4.3
4,1100056,7.2
5,1100064,5.6
6,1100072,11.4
7,1100080,20.9
8,1100098,9.2
9,1100106,20
10,1100114,5.6
11,1100122,7.7
12,1100130,14
13,1100148,5.1
14,1100155,8.7
15,1100189,7
16,1100205,10.6
17,1100254,7.3
18,1100262,15.4
19,1100288,5.7
20,1100296,4.4
21,1100304,8.1
22,1100320,4.4
23,1100338,18.2
24,1100346,7.1
25,1100379,14.3
26,1100403,14.4
27,1100452,7.9
28,1100502,6.3
29,1100601,11.3
30,1100700,16.7
31,1100809,18.9
32,1100908,7
33,1100924,11.7
34,1100940,14.8
35,1101005,12
36,1101104,11.3
37,1101203,5.9
38,1101302,12.3
39,1101401,16.2
40,1101435,12.7
41,1101450,11.1
42,1101468,8.6
43,1101476,5.4
44,1101484,6.4
45,1101492,6.7
46,1101500,5.6
47,1101559,9
48,1101609,9.2
49,1101708,8.6
50,1101757,11.8
51,1101807,10.9
52,1200013,19.7
53,1200054,37.3
54,1200104,14.4
55,1200138,24.9
56,1200179,24.4
57,1200203,18.4
58,1200252,18.8
59,1200302,38.6
60,1200328,34.6
61,1200336,19.7
62,1200344,36.7
63,1200351,33.3
64,1200385,22.5
65,1200393,26.4
66,1200401,13.1
67,1200427,20.1
68,1200435,28
69,1200450,17
70,1200500,27.1
71,1200609,35.5
72,1200708,29.4
73,1200807,26
74,1300029,26.4
75,1300060,21.1
76,1300086,12.9
77,1300102,13.5
78,1300144,23.9
79,1300201,31
80,1300300,23.5
81,1300409,26.3
82,1300508,15.4
83,1300607,12.7
84,1300631,24.9
85,1300680,16.5
86,1300706,17.8
87,1300805,18.4
88,1300839,20.2
89,1300904,32.2
90,1301001,21.5
91,1301100,20
92,1301159,21.9
93,1301209,17.7
94,1301308,22.5
95,1301407,18.9
96,1301506,30.3
97,1301605,24.9
98,1301654,22.4
99,1301704,16.2
100,1301803,35.2
101,1301852,18.7
102,1301902,10.3
103,1301951,31.4
104,1302009,13.7
105,1302108,35.2
106,1302207,35.2
107,1302306,26.2
108,1302405,25.9
109,1302504,11.5
110,1302553,18.6
111,1302603,11.2
112,1302702,15.5
113,1302801,28.9
114,1302900,23.7
115,1303007,13.4
116,1303106,18.5
117,1303205,12.1
118,1303304,15.4
119,1303403,11
120,1303502,45.4
121,1303536,22.4
122,1303569,16.5
123,1303601,19
124,1303700,24.2
125,1303809,26.6
126,1303908,18.5
127,1303957,12.8
128,1304005,13.6
129,1304062,11.4
130,1304104,28.5
131,1304203,19.6
132,1304237,17.7
133,1304260,28.3
134,1304302,10.6
135,1304401,15.2
136,1400027,28.5
137,1400050,32.3
138,1400100,15.1
139,1400159,19.6
140,1400175,18.6
141,1400209,24.4
142,1400233,23.5
143,1400282,26.3
144,1400308,19.7
145,1400407,15.4
146,1400456,15.7
147,1400472,20.7
148,1400506,18.8
149,1400605,14.7
150,1400704,24.2
151,1500107,19.5
152,1500131,21.4
153,1500206,32.4
154,1500305,43.3
155,1500347,27.5
156,1500404,29.4
157,1500503,34.8
158,1500602,19.1
159,1500701,43.7
160,1500800,15.4
161,1500859,28.5
162,1500909,28.2
163,1500958,22.1
164,1501006,25.5
165,1501105,35.8
166,1501204,33.8
167,1501253,36.6
168,1501303,24.1
169,1501402,17.8
170,1501451,22.5
171,1501501,11.6
172,1501576,25.7
173,1501600,21.9
174,1501709,24.6
175,1501725,17.3
176,1501758,25.2
177,1501782,23.8
178,1501808,41.9
179,1501907,22.3
180,1501956,22.9
181,1502004,29
182,1502103,31.4
183,1502152,15.6
184,1502202,20.2
185,1502301,24
186,1502400,22.2
187,1502509,39.7
188,1502608,20.7
189,1502707,14.7
190,1502756,31.6
191,1502764,23.9
192,1502772,11.5
193,1502806,42.1
194,1502855,20.4
195,1502905,23.3
196,1502939,18.5
197,1502954,22.4
198,1503002,18.8
199,1503044,15.3
200,1503077,33.5
201,1503093,26.6
202,1503101,36.7
203,1503200,22.6
204,1503309,29.9
205,1503408,24.7
206,1503457,26.4
207,1503507,23.8
208,1503606,24.8
209,1503705,28.3
210,1503754,31.9
211,1503804,25.3
212,1503903,13.7
213,1504000,32.5
214,1504059,22.1
215,1504109,23.9
216,1504208,15.3
217,1504307,23.3
218,1504406,22.4
219,1504422,20.4
220,1504455,29.6
221,1504505,36.3
222,1504604,28.2
223,1504703,16.7
224,1504752,15.5
225,1504802,21.8
226,1504901,29.4
227,1504950,26.1
228,1504976,39.8
229,1505007,15.2
230,1505031,17.1
231,1505064,27.4
232,1505106,22.5
233,1505205,39.8
234,1505304,18.1
235,1505403,26.9
236,1505437,21.7
237,1505486,33.6
238,1505494,29.4
239,1505502,18.9
240,1505536,11.7
241,1505551,23.1
242,1505601,25.3
243,1505635,19.8
244,1505650,16.3
245,1505700,20.2
246,1505809,48.2
247,1505908,46.1
248,1506005,23.1
249,1506104,22.6
250,1506112,27.9
251,1506138,15.5
252,1506161,13
253,1506187,30.4
254,1506195,24.2
255,1506203,12.6
256,1506302,26.2
257,1506351,16.7
258,1506401,26
259,1506500,16.9
260,1506559,24.3
261,1506583,25.4
262,1506609,26.9
263,1506708,35
264,1506807,14
265,1506906,19.8
266,1507003,24
267,1507102,27.3
268,1507151,26.2
269,1507201,39.8
270,1507300,27.9
271,1507409,23.7
272,1507458,22.9
273,1507466,18.2
274,1507474,14.9
275,1507508,25.9
276,1507607,30.2
277,1507706,23.2
278,1507755,33.6
279,1507805,29.9
280,1507904,27.7
281,1507953,25.1
282,1507961,20.8
283,1507979,6.7
284,1508001,16.9
285,1508035,27.4
286,1508050,29.4
287,1508084,23.2
288,1508100,23.7
289,1508126,10.6
290,1508159,17.2
291,1508209,22
292,1508308,27.5
293,1508357,20.1
294,1508407,25.2
295,1600055,23.8
296,1600105,22.1
297,1600154,31.9
298,1600204,31.3
299,1600212,27.6
300,1600238,32.8
301,1600253,36.9
302,1600279,26.8
303,1600303,21.5
304,1600402,31.6
305,1600501,40.9
306,1600535,22.7
307,1600550,32.9
308,1600600,19.4
309,1600709,29.9
310,1600808,26.2
311,1700251,12.6
312,1700301,10.5
313,1700350,8.2
314,1700400,8.1
315,1700707,9.2
316,1701002,7.9
317,1701051,11.4
318,1701101,7.2
319,1701309,14.5
320,1701903,6.3
321,1702000,7.9
322,1702109,8.3
323,1702158,17.2
324,1702208,13.1
325,1702307,14
326,1702406,15.6
327,1702554,10.8
328,1702703,7.5
329,1702901,11
330,1703008,12.1
331,1703057,9.5
332,1703073,17.6
333,1703107,5.6
334,1703206,9.8
335,1703305,4
336,1703602,10.4
337,1703701,13.3
338,1703800,12.9
339,1703826,7
340,1703842,12.9
341,1703867,8.6
342,1703883,24.6
343,1703891,15
344,1703909,7.9
345,1704105,8.1
346,1704600,4.4
347,1705102,16.2
348,1705508,11
349,1705557,7.8
350,1705607,18.5
351,1706001,14.3
352,1706100,7.9
353,1706258,12
354,1706506,16.1
355,1707009,16.2
356,1707108,7.8
357,1707207,14.9
358,1707306,8.6
359,1707405,20
360,1707553,9.8
361,1707652,15.6
362,1707702,17.8
363,1708205,10.8
364,1708254,6.9
365,1708304,6.1
366,1709005,14
367,1709302,8.2
368,1709500,7.1
369,1709807,9
370,1710508,5.9
371,1710706,11.9
372,1710904,6.7
373,1711100,13.7
374,1711506,12.3
375,1711803,15.9
376,1711902,13.8
377,1711951,16.1
378,1712009,10.8
379,1712157,5.8
380,1712405,11.5
381,1712454,7.3
382,1712504,15.1
383,1712702,14.7
384,1712801,12.2
385,1713205,10.8
386,1713304,7.8
387,1713601,15.3
388,1713700,8.4
389,1713809,9.5
390,1713957,10.1
391,1714203,8.1
392,1714302,15.7
393,1714880,20
394,1715002,9.1
395,1715101,12.1
396,1715150,10.2
